Criterion,Study Link,NCT ID,Acronym,Overall Status,Start Date,Conditions,Interventions,Locations,Primary Completion Date,Study First Post Date,Last Update Post Date,Study Type,Phases
"Inclusion Criteria:

* Males and females age 19 or older
* Current active, adult-onset rheumatoid arthritis who meet American College of Rheumatology (ACR) criteria for RA and have: (ACR functional class I-III), defined as:
* 3 or more swollen or tender joints and
* Morning stiffness of 45min or longer
* OR judged by their rheumatologist to have active disease
* No evidence of other inflammatory diseases (e.g., Crohn's, IBS)
* Functional class I, II or III

Exclusion Criteria:

* Individuals with significant cardiovascular disease (CHF, stroke, MI)
* Unwilling to have medications monitored and/or comply with protocol
* Not fluent in English
* Planning to move from area within next year or change health insurance (which would preclude ongoing care by a Johns Hopkins rheumatologist)
* Enrolled in study evaluating efficacy of new or existing RA medications",https://clinicaltrials.gov/ct2/show/NCT00346411,NCT00346411,HORA,COMPLETED,2005-09-01,Rheumatoid Arthritis,No interventions listed,Baltimore - United States,2011-12-12,2006-06-29,2017-10-05,OBSERVATIONAL,Not Available
"Inclusion criteria:

* Diagnosis of NF1 based on NIH Consensus Conference clinical criteria or confirmed pathogenic NF1 mutation
* Patients ages 1-100 will be eligible to participate
* Ability have 3D whole-body pictures taken which entails standing still for a few seconds
* Ability to provide informed consent or obtain consent from parent or legally authorized representative in the case of patients under 18 years of age who cannot consent for themselves or those with disabilities preventing them from participating in the consent process.
* Participants must be able to travel to Johns Hopkins Hospital for whole-body imaging and physical exam.

Exclusion criteria:

* Concurrent experimental or off label use of therapies for cNF",https://clinicaltrials.gov/ct2/show/NCT05581511,NCT05581511,cNF Natural Hx,ACTIVE_NOT_RECRUITING,2021-06-28,"Neurofibromatosis Type 1, Neurofibromatosis 1, Neurofibromatosis (Nonmalignant), Cutaneous Neurofibroma",Evaluation of the natural history of cutaneous neurofibromas,Baltimore - United States,2028-12-31,2022-10-14,2024-10-15,OBSERVATIONAL,Not Available
"Inclusion Criteria:

* Degenerative changes of the shoulder joint (documented by radiographs) in patients planning total joint replacement with one of the study's four fellowship-trained orthopaedic surgeons.
* Patients who require revision surgeries, hemiarthroplasties, or who have chronic pain issues will be included.

Exclusion Criteria:

* Allergy to liposomal bupivacaine
* Contraindications to the interscalene nerve block such as:
* Preexisting neurologic defects
* Local anesthetic allergy
* Coagulopathy
* Contralateral phrenic nerve dysfunction
* Severe chronic obstructive pulmonary disease",https://clinicaltrials.gov/ct2/show/NCT02762071,NCT02762071,Unknown,COMPLETED,2016-04,"Osteoarthritis, Arthropathy, Shoulder Pain, Closed Fracture Proximal Humerus, Four Part","Liposomal bupivacaine, Interscalene Nerve Block","Columbia - United States, Dallas - United States",2019-04-15,2016-05-04,2020-03-30,INTERVENTIONAL,NA
"Inclusion Criteria:

* Diagnosis of schizophrenia, schizoaffective disorder, bipolar disorder, or recurrent major depression meeting criteria for serious mental illness
* Fagerstrom Test for Nicotine Dependence of ≥3 and daily cigarette smoking for at least the past 6 months (on days that cigarettes were available)
* On stable psychotropic medication for mental illness for at least 30 days (i.e., antipsychotic medication for those with schizophrenia spectrum illness, mood stabilizer for those with bipolar disorder)
* Competent and willing to give informed consent
* Completion of baseline data collection
* Willing to participate in smoking cessation intervention that includes combination of evidence-based behavioral (group and individual sessions) and pharmacotherapeutic smoking cessation aids

Exclusion Criteria:

* Serious cardiovascular event (e.g. myocardial infarction, stroke) within the past 6 months
* Serious unstable medical condition that limits life expectancy
* Pregnant, breastfeeding, or planning a pregnancy during study period.
* Alcohol or illicit substance use disorder if not sober/abstinent for ≥ 30 days
* Planning to leave mental health program or move out of geographic area within 18 months Review by treating psychiatrist required for those with inpatient psychiatric hospitalization within six months of enrollment.",https://clinicaltrials.gov/ct2/show/NCT02424188,NCT02424188,TRIUMPH,COMPLETED,2016-07-07,Mental Illness,TRIIUMPH Intervention,Baltimore - United States,2020-03,2015-04-22,2023-10-02,INTERVENTIONAL,NA
"Inclusion Criteria:

ADULTS:

* Patients with IBD and their family members who have or do not have IBD.
* People that do not have IBD nor have a family member with IBD needed for comparison purposes.

CHILDREN:

* Children age 5 or older with IBD and their family members who have or do not have IBD.
* Children that do not have IBD nor have a family member with IBD needed for comparison purposes.

Exclusion Criteria:

* The only exclusions are age parameters and health reasons that would preclude their enrollment; such as, for anemic patients. Blood-draws on anemic patients may, in certain medical cases, pose a health risk to them; therefore, we request that if they are anemic that they present a letter from their personal physician giving explicit permission for them to join if at the time it is clinically advisable.",https://clinicaltrials.gov/ct2/show/NCT01169207,NCT01169207,Unknown,ACTIVE_NOT_RECRUITING,1996-07,Inflammatory Bowel Disease,No interventions listed,Baltimore - United States,2027-12,2010-07-26,2025-01-16,OBSERVATIONAL,Not Available
"Inclusion Criteria:

* Lung and gastrointestinal cancer diagnoses at various stages
* Inpatient or outpatient of Johns Hopkins Hospital, Sidney Kimmel Cancer Center, Bayview Medical Center or Greensprings Station
* Ability to read and understand English
* 18 years or older
* Patients have been informed of the serious/terminal nature of their cancer diagnosis
* Physically and mentally fit
* Diverse ethnic background

Exclusion Criteria:

* Observable evidence of confusion (researcher will consult with psychiatric liaison nurse if the patient is not oriented to time,place and person).
* Patients who experience pain or other discomforting symptoms
* Receiving hospice care",https://clinicaltrials.gov/ct2/show/NCT00364078,NCT00364078,Unknown,COMPLETED,2006-06,"Lung Cancer, Gastrointestinal Cancers",No interventions listed,"Baltimore - United States, Baltimore - United States",2007-05,2006-08-15,2008-05-21,OBSERVATIONAL,Not Available
"Inclusion Criteria Older (ages 60+) and younger (aged 21-59) participants with no significant health history will be recruited from the community.

Exclusion Criteria

Any person with a self-reported history of:

* impaired proprioception
* significant eye problems
* neuromuscular disease
* seizure
* stroke
* unmedicated diabetes
* cardiovascular disease (except controlled hypertension)
* renal disease or electrolyte imbalance
* orthopedic disorders such as severe neck or back pain
* uncontrolled high blood pressure (200/110 or greater)
* implanted electronic devices (pacemakers, defibrillators, implanted pumps or stimulator devices, cochlear, etc.)
* psychotic medications or current psychotic symptoms
* Any other psychiatric condition requiring hospitalization since 1991
* recent history of alcohol or drug abuse within the past 6 months
* inability to stand unassisted for 30 seconds or walk unassisted for 6 minutes",https://clinicaltrials.gov/ct2/show/NCT06688578,NCT06688578,Unknown,NOT_YET_RECRUITING,2025-01-15,"Vestibular Disorder, Aging","Subperceptual Stimulus, Sham Comparator","Baltimore - United States, Boston - United States",2026-05-31,2024-11-14,2024-12-16,INTERVENTIONAL,NA
"Inclusion Criteria:

* Patients in long-term care facility, Ventilator Rehabilitation Unit (VRU) (Plaza) at the John Burton Care Center of the Johns Hopkins Bayview Medical Center.
* Nutrition via gastrostomy, naso-gastric or jejunostomy enteral feeding system.
* Patients with supplemental oral intake, but primary nutrition via gastrostomy/jejunostomy tube.
* Patients with colostomies are also allowed
* Not currently on antibiotic therapy and no antibiotics within 10 days.
* Patient is negative for Clostridium difficile antigen in screen
* Patient, guardian or health care agent willing to give informed consent.

Exclusion Criteria:

* Patients who will only receive vancomycin, linezolid, or metronidazole as the antibiotic treatment, not broad spectrum antibiotics. All other antibiotics will qualify.
* Patients with illeostomies.
* Patients who have signs or symptoms of C. difficile infection; such as diarrhea (two or more liquid stools in a 24-hour period) and elevated WBC (more than 15,000/mm3).
* Known allergy to rice or rice products.",https://clinicaltrials.gov/ct2/show/NCT00377078,NCT00377078,Unknown,UNKNOWN,2005-10,Clostridium Difficile,recombinant human lactoferrin,Baltimore - United States,Unknown Date,2006-09-15,2006-09-15,INTERVENTIONAL,NA
"Inclusion Criteria:

* 18 - 55 years old
* active opioid and cocaine dependence
* seeking treatment for cocaine and opioid dependence
* eligible for methadone maintenance per state and federal regulations
* able and willing to provide a urine sample thrice a week
* willing to answer questionnaires on a weekly basis
* willing to provide breath samples for presence of alcohol thrice weekly
* fluent in the English language

Exclusion Criteria:

* allergy to sulfonamide drugs
* diabetes, respiratory insufficiency, renal tubular acidosis, renal insufficiency, heart failure, liver insufficiency, chronic diarrhea, other chronic diseases predisposing to a risk of acidosis
* history of nephrolithiasis
* HIV positive individuals who meet AIDS criteria by CDC criteria or are taking antiretroviral medications
* serious psychiatric illness (psychosis, dementia)
* glaucoma or family history of glaucoma
* prostate hyperplasia, shy bladder, irritable bladder, difficulty providing urine samples on demand
* female participants: being pregnant, lactating, or unwilling to use an effective method of contraception
* use of antiepileptic agents
* benzodiazepine dependence
* latex allergy",https://clinicaltrials.gov/ct2/show/NCT00685178,NCT00685178,Unknown,COMPLETED,2007-02,Cocaine Dependence,"topiramate, Contingency Reinforcement, placebo + NonCR",Baltimore - United States,2011-06,2008-05-28,2017-07-11,INTERVENTIONAL,PHASE2
"Inclusion Criteria:

* English speaking/reading adults
* Patients of the Johns Hopkins Arthritis Center and/or the Johns Hopkins Psoriatic Arthritis Clinical Program
* Followed every 3-4 months for regular psoriatic arthritis clinical care
* Meet Classification Criteria for Psoriatic Arthritis (CASPAR)
* Able to interact with touch screen computer.

Exclusion Criteria:

None",https://clinicaltrials.gov/ct2/show/NCT03620188,NCT03620188,PaGoPsA,COMPLETED,2018-12-20,Psoriatic Arthritis,Standard of care,Baltimore - United States,2022-06-30,2018-08-08,2023-09-21,OBSERVATIONAL,Not Available
"Inclusion Criteria:

* Patients with a clinical diagnosis of SLE are eligible.
* Patients must be 18 years of age or older and able to give informed consent.

Exclusion Criteria:

* SLE patients who are allergic to fish oil or any omega 3 product.
* Patients who are pregnant or are planning to become pregnant or are nursing.
* Omega-3 use within the previous 6 weeks of enrollment.
* Use of warfarin or heparin.
* Patients who have coronary artery disease.",https://clinicaltrials.gov/ct2/show/NCT00828178,NCT00828178,Unknown,COMPLETED,2009-02,Systemic Lupus Erythematosus,"Omega-3, flow-mediated dilation of the brachial artery, corn starch","Baltimore - United States, Baltimore - United States",2011-02,2009-01-23,2016-11-18,INTERVENTIONAL,PHASE4
